college_code,branch_code,year,opening_rank,closing_rank,seats_filled,community
1013,134,2021,22057,22057,1,MBC
1013,136,2021,20645,20645,1,SC
1013,139,2021,18683,18683,1,MBC
1013,140,2021,17843,17843,1,MBC
1013,143,2021,15679,15679,1,SC
1013,145,2021,14136,14136,1,MBC
1013,146,2021,13272,13272,1,BC
1013,149,2021,11036,11036,1,BC
1013,149,2021,10966,10966,1,MBC
1013,151,2021,9694,9694,1,BC
1013,152,2021,8973,8973,1,MBC
1013,153,2021,8277,8277,1,BC
1013,153,2021,8124,8124,1,SC
1013,154,2021,7302,7302,1,BC
1013,154,2021,7332,7332,1,MBC
1013,155,2021,6797,6797,1,BC
1013,155,2021,6600,6600,1,SC
1013,156,2021,5963,6649,2,BC
1013,156,2021,6690,6690,1,SC
1013,157,2021,5133,5133,1,MBC
1013,159,2021,3514,3514,1,BC
1013,159,2021,3662,3662,1,SC
1013,160,2021,2913,2913,1,BC
1013,162,2021,1018,1165,2,MBC
1013,177,2021,15007,15019,2,BC
1013,177,2021,15022,15022,1,OC
1013,182,2021,6347,6347,1,BC
1013,86,2021,26271,26271,1,SC
1014,127,2021,24197,24197,1,BC
1014,134,2021,22161,22161,1,SCA
1014,137,2021,19842,19970,2,BC
1014,138,2021,19245,19245,1,SC
1014,139,2021,18441,18485,2,BC
1014,139,2021,18556,18556,1,SC
1014,140,2021,20169,20169,1,OC
1014,143,2021,15584,15584,1,BC
1014,143,2021,15553,15553,1,MBC
1014,144,2021,14841,14841,1,MBC
1014,145,2021,14115,14123,2,BC
1014,145,2021,13932,13932,1,MBC
1014,145,2021,14207,14207,1,SC
1014,147,2021,12768,12768,1,SC
1014,148,2021,11871,11871,1,BC
1014,149,2021,13961,13961,1,BC
1014,150,2021,10278,10550,4,BC
1014,150,2021,10261,10261,1,MBC
1014,150,2021,13085,13085,1,SC
1014,151,2021,9586,9586,1,BC
1014,151,2021,9588,9834,3,MBC
1014,152,2021,8778,8778,1,BC
1014,152,2021,9033,9033,1,MBC
1014,154,2021,7285,7285,1,MBC
1014,155,2021,6534,6778,2,MBC
1014,156,2021,5890,5890,1,SC
1014,157,2021,4994,4994,1,BC
1014,158,2021,4204,4204,1,BC
1014,160,2021,2891,2891,1,BC
1014,160,2021,2732,2878,2,MBC
1014,161,2021,2090,2090,1,BC
1014,162,2021,1052,1052,1,MBC
1014,169,2021,470,470,1,SC
1014,174,2021,20323,20323,1,BC
1014,175,2021,18550,18550,1,BC
1014,175,2021,18528,18528,1,SC
1015,131,2021,24397,24397,1,MBC
1015,135,2021,21188,21188,1,MBC
1015,137,2021,19924,19924,1,MBC
1015,138,2021,19391,19391,1,SC
1015,140,2021,17795,17795,1,BC
1015,140,2021,17948,17948,1,SC
1015,142,2021,16434,16434,1,BC
1015,143,2021,15696,15696,1,MBC
1015,145,2021,14096,14096,1,BC
1015,145,2021,13989,13989,1,MBC
1015,146,2021,13479,13479,1,MBC
1015,147,2021,12520,12520,1,BC
1015,147,2021,12478,12478,1,SC
1015,148,2021,11975,11975,1,BC
1015,149,2021,11185,11249,2,BC
1015,151,2021,9566,9566,1,MBC
1015,151,2021,9647,9647,1,SC
1015,152,2021,8840,9036,2,BC
1015,153,2021,8232,8232,1,SC
1015,154,2021,7281,9015,2,SC
1015,156,2021,5960,5960,1,MBC
1015,158,2021,4314,4419,2,BC
1015,159,2021,3538,3538,1,BC
1015,160,2021,1610,1610,1,SC
1015,161,2021,1950,1950,1,BC
1015,162,2021,1266,1266,1,BC
1015,164,2021,448,448,1,MBC
1015,174,2021,166,166,1,MBC
1015,175,2021,140,140,1,MBC
1015,177,2021,15028,15028,1,OC
1026,132,2021,23609,23609,1,MBC
1026,133,2021,22751,22751,1,BC
1026,133,2021,22927,22927,1,SC
1026,134,2021,22143,22143,1,BC
1026,134,2021,21943,21943,1,SC
1026,138,2021,19174,19174,1,BC
1026,141,2021,17237,17237,1,MBC
1026,143,2021,15452,15452,1,MBC
1026,144,2021,14778,14778,1,SC
1026,145,2021,14176,14176,1,SC
1026,146,2021,13221,13270,2,MBC
1026,146,2021,13254,13354,2,SC
1026,147,2021,12620,12620,1,BC
1026,148,2021,11899,11899,1,MBC
1026,150,2021,10422,10559,3,BC
1026,150,2021,13102,13102,1,ST
1026,152,2021,8784,8901,2,BC
1026,152,2021,8908,8908,1,MBC
1026,152,2021,8894,8894,1,SC
1026,154,2021,7408,7536,2,BC
1026,154,2021,7404,7404,1,SCA
1026,157,2021,5026,5026,1,BC
1026,157,2021,5098,5098,1,MBC
1026,158,2021,4266,4384,2,BC
1026,158,2021,4320,4511,2,MBC
1026,160,2021,2733,2733,1,MBC
1026,162,2021,1213,1213,1,SC
1026,174,2021,20298,20298,1,BC
1026,176,2021,16783,16783,1,BC
1026,180,2021,9801,9801,1,BC
1026,181,2021,7988,7988,1,OC
1026,182,2021,6377,6377,1,OC
1026,183,2021,4759,4759,1,BC
1026,186,2021,10051,10051,1,BC
1026,186,2021,10089,10089,1,OC
1026,187,2021,8751,8751,1,OC
1026,926,2021,719,719,1,OC
1101,128,2021,24033,24033,1,BC
1101,131,2021,24126,24126,1,BC
1101,135,2021,21297,21297,1,BC
1101,137,2021,21529,21529,1,BC
1101,138,2021,19129,19129,1,BC
1101,139,2021,18669,18669,1,BC
1101,140,2021,17944,17944,1,BC
1101,143,2021,15618,15618,1,BC
1101,143,2021,15687,15687,1,MBC
1101,144,2021,14773,14773,1,MBC
1101,146,2021,13318,13318,1,BC
1101,148,2021,11827,11827,1,BC
1101,150,2021,10365,10365,1,BC
1101,152,2021,9076,9076,1,BC
1101,152,2021,8903,8903,1,OC
1101,155,2021,6594,6779,2,BC
1101,156,2021,5977,5977,1,BC
1101,158,2021,4470,4470,1,BC
1101,161,2021,2032,2032,1,BC
1101,163,2021,490,490,1,BC
1106,121,2021,25035,25035,1,SC
1106,122,2021,24949,24949,1,SC
1106,129,2021,23818,23818,1,BC
1106,132,2021,23311,23311,1,MBC
1106,133,2021,22589,22589,1,BC
1106,134,2021,21902,22059,2,BC
1106,134,2021,22047,22052,2,MBC
1106,134,2021,21950,21950,1,SC
1106,135,2021,21243,21243,1,BC
1106,136,2021,20587,20587,1,BC
1106,137,2021,20002,20002,1,BC
1106,138,2021,19236,19236,1,BC
1106,139,2021,18344,18344,1,BC
1106,139,2021,18378,18378,1,OC
1106,144,2021,14822,14822,1,BC
1106,146,2021,13490,13490,1,OC
1106,147,2021,15664,15664,1,BC
1106,147,2021,12690,12690,1,OC
1106,149,2021,11029,11029,1,MBC
1106,151,2021,9556,9556,1,BC
1106,151,2021,9767,9767,1,SC
1106,152,2021,8758,8758,1,MBC
1106,154,2021,7326,7567,2,BC
1106,154,2021,7259,7259,1,MBC
1106,156,2021,5778,6033,2,BC
1106,158,2021,4174,4174,1,BC
1106,159,2021,2905,2905,1,OC
1106,174,2021,20297,20297,1,BC
1106,80,2021,26476,26476,1,BC
1107,141,2021,19649,19649,1,BC
1110,122,2021,24947,24947,1,BC
1110,122,2021,24945,24945,1,SC
1110,124,2021,24669,24671,2,SC
1110,129,2021,23816,23816,1,SC
1110,131,2021,24128,24128,1,BC
1110,132,2021,23143,23143,1,BC
1110,132,2021,23539,23539,1,MBC
1110,133,2021,22670,22836,2,MBC
1110,134,2021,22003,22003,1,BC
1110,134,2021,22034,22034,1,MBC
1110,135,2021,21318,21318,1,MBC
1110,135,2021,21306,21306,1,SC
1110,136,2021,20511,20703,3,BC
1110,136,2021,20562,20562,1,MBC
1110,137,2021,19858,19858,1,MBC
1110,138,2021,19115,19115,1,MBC
1110,139,2021,18515,18674,2,BC
1110,140,2021,17827,17827,1,BC
1110,140,2021,17634,17917,2,MBC
1110,141,2021,17131,17131,1,BC
1110,142,2021,16358,16358,1,BC
1110,142,2021,16163,16382,2,MBC
1110,142,2021,19125,19125,1,SCA
1110,143,2021,15520,15707,2,BC
1110,144,2021,14635,14635,1,BC
1110,144,2021,14799,14799,1,MBC
1110,144,2021,17867,17867,1,SC
1110,145,2021,14037,14037,1,BC
1110,145,2021,13931,13931,1,MBC
1110,145,2021,14172,14172,1,SC
1110,146,2021,13349,13349,1,BC
1110,147,2021,12526,15642,3,BC
1110,147,2021,15657,15657,1,OC
1110,148,2021,11771,11906,2,BC
1110,149,2021,11278,11278,1,BC
1110,149,2021,11123,11123,1,MBC
1110,150,2021,10478,10478,1,BC
1110,150,2021,10420,10518,2,MBC
1110,151,2021,9727,9828,2,BC
1110,152,2021,8722,8864,3,BC
1110,153,2021,8173,8173,1,BC
1110,153,2021,8200,8200,1,MBC
1110,154,2021,7378,7378,1,BC
1110,155,2021,6647,6675,2,OC
1110,156,2021,5946,5946,1,BC
1110,157,2021,5164,5164,1,BC
1110,157,2021,5285,5285,1,OC
1110,158,2021,4179,4179,1,SC
1110,159,2021,2924,2924,1,BC
1110,160,2021,2898,2898,1,MBC
1110,161,2021,1982,2127,2,MBC
1110,175,2021,18592,18592,1,BC
1112,136,2021,20503,20503,1,SC
1112,139,2021,18638,18670,2,SC
1112,139,2021,20631,20631,1,SCA
1112,140,2021,17648,17648,1,SCA
1112,142,2021,16224,16224,1,SC
1112,146,2021,13214,13495,2,SC
1112,147,2021,12792,12792,1,SC
1112,148,2021,12031,12031,1,SCA
1112,150,2021,10380,10565,2,SC
1112,152,2021,8762,8762,1,SC
1112,154,2021,7277,7277,1,SC
1112,155,2021,7855,7855,1,SCA
1112,156,2021,5787,5993,2,SC
1112,157,2021,5029,5029,1,SC
1112,159,2021,3454,3520,2,SC
1112,162,2021,1036,1036,1,SC
1112,178,2021,3166,3166,1,BC
1112,182,2021,6330,6330,1,BC
1112,183,2021,4677,4686,3,BC
1112,184,2021,3209,3276,2,BC
1112,185,2021,1767,1767,1,BC
1112,185,2021,1712,1742,2,OC
1112,186,2021,10062,10116,3,BC
1112,186,2021,10040,10040,1,MBC
1112,187,2021,8729,8815,4,BC
1112,188,2021,7505,7505,1,BC
1113,140,2021,17933,17933,1,SC
1113,141,2021,17132,17132,1,SC
1113,141,2021,17017,17017,1,ST
1113,143,2021,15430,15430,1,SCA
1113,151,2021,9528,9528,1,SC
1113,153,2021,8079,8079,1,SC
1113,154,2021,9029,9029,1,SC
1113,156,2021,5980,5980,1,MBC
1113,157,2021,5236,5236,1,BC
1113,158,2021,4198,4198,1,SCA
1113,159,2021,3434,3629,2,MBC
1113,160,2021,2723,2723,1,SC
1113,162,2021,1122,1122,1,MBC
1113,162,2021,1257,1281,2,SC
1113,175,2021,18571,18571,1,BC
1113,175,2021,18564,18578,2,SC
1113,177,2021,15038,15038,1,SC
1113,182,2021,6316,6316,1,BC
1113,184,2021,3170,3267,4,BC
1113,186,2021,10071,10147,2,BC
1113,187,2021,332,8789,7,BC
1113,188,2021,7439,7556,7,BC
1114,131,2021,24076,24200,3,MBC
1114,132,2021,23347,23347,1,MBC
1114,132,2021,23642,23642,1,SC
1114,133,2021,22604,22604,1,BC
1114,134,2021,22101,22101,1,BC
1114,134,2021,22035,22035,1,SC
1114,135,2021,21252,21277,2,MBC
1114,136,2021,20475,20475,1,BC
1114,137,2021,20057,20057,1,BC
1114,137,2021,19898,19898,1,MBC
1114,137,2021,19749,19749,1,SC
1114,138,2021,19152,19152,1,BC
1114,138,2021,19101,19341,2,MBC
1114,139,2021,18440,18440,1,MBC
1114,140,2021,17950,17950,1,BC
1114,140,2021,17699,17699,1,MBC
1114,140,2021,20167,20167,1,SC
1114,141,2021,17093,17093,1,BC
1114,141,2021,16914,16914,1,MBC
1114,142,2021,16140,16394,3,BC
1114,142,2021,16202,16202,1,MBC
1114,143,2021,15496,15642,4,MBC
1114,144,2021,14758,14888,3,BC
1114,144,2021,14842,14842,1,MBC
1114,145,2021,14085,14145,3,BC
1114,145,2021,14110,14110,1,MBC
1114,146,2021,13311,13507,3,BC
1114,146,2021,13400,13400,1,MBC
1114,147,2021,15638,15638,1,BC
1114,147,2021,12654,12654,1,MBC
1114,148,2021,11737,12001,7,BC
1114,148,2021,11814,11814,1,MBC
1114,148,2021,11719,11719,1,SC
1114,149,2021,10978,11065,3,BC
1114,149,2021,11283,11283,1,MBC
1114,150,2021,10246,10583,2,BC
1114,150,2021,10566,10589,2,MBC
1114,150,2021,10375,10375,1,OC
1114,151,2021,9590,9741,3,BC
1114,151,2021,9719,9719,1,MBC
1114,151,2021,9653,9653,1,OC
1114,152,2021,8916,9068,3,BC
1114,152,2021,8929,8994,2,MBC
1114,152,2021,8808,8808,1,OC
1114,153,2021,7962,8254,6,BC
1114,154,2021,7325,7546,4,BC
1114,155,2021,6471,6618,2,BC
1114,155,2021,6802,6802,1,MBC
1114,156,2021,5764,6045,5,BC
1114,156,2021,5750,5837,2,MBC
1114,157,2021,4975,5255,3,BC
1114,157,2021,5089,5119,2,MBC
1114,158,2021,4197,4518,7,BC
1114,158,2021,4357,4357,1,MBC
1114,158,2021,4207,4207,1,SC
1114,159,2021,3489,3692,3,BC
1114,159,2021,3432,3637,2,MBC
1114,160,2021,2902,2902,1,MBC
1114,161,2021,2132,2132,1,BC
1114,161,2021,2113,2113,1,MBC
1114,162,2021,1013,1013,1,BC
1114,167,2021,323,323,1,OC
1114,176,2021,16831,16831,1,BC
1115,131,2021,24133,24133,1,MBC
1115,133,2021,22892,22892,1,MBC
1115,135,2021,21250,21389,2,BC
1115,136,2021,20635,20635,1,BC
1115,137,2021,19814,19814,1,BC
1115,140,2021,17810,17810,1,BC
1115,142,2021,16261,16261,1,MBC
1115,144,2021,14930,14930,1,MBC
1115,145,2021,14009,14009,1,MBC
1115,147,2021,12571,12571,1,BC
1115,149,2021,13984,13984,1,BC
1115,149,2021,13999,13999,1,SC
1115,152,2021,11160,11160,1,BC
1115,157,2021,5410,5410,1,BC
1115,160,2021,1609,1609,1,BC
1115,184,2021,3237,3237,1,SC
1116,133,2021,22682,22682,1,BC
1116,133,2021,22737,22737,1,MBC
1116,135,2021,21327,21327,1,MBC
1116,136,2021,21920,21920,1,BC
1116,139,2021,18488,18488,1,BC
1116,141,2021,16941,19648,2,BC
1116,142,2021,16355,16355,1,BC
1116,143,2021,15394,15394,1,MBC
1116,144,2021,17859,17859,1,SC
1116,146,2021,16449,16449,1,BC
1116,146,2021,13429,13429,1,MBC
1116,148,2021,14847,14847,1,BC
1116,149,2021,10999,10999,1,BC
1116,151,2021,12152,12152,1,BC
1116,152,2021,11155,11155,1,BC
1116,153,2021,8040,8040,1,BC
1116,157,2021,5413,5413,1,OC
1116,158,2021,4345,4345,1,BC
1116,159,2021,2911,2911,1,BC
1116,161,2021,1974,1974,1,MBC
1116,177,2021,15064,15064,1,BC
1116,177,2021,15050,15050,1,OC
1116,179,2021,11540,11540,1,BC
1116,180,2021,9754,9773,2,OC
1116,183,2021,4708,4708,1,BC
1116,184,2021,3191,3191,1,BC
1116,188,2021,7572,7572,1,OC
1116,83,2021,26374,26374,1,BC
1118,131,2021,24263,24263,1,MBC
1118,132,2021,23612,23612,1,SC
1118,136,2021,20707,20707,1,BC
1118,136,2021,20515,20577,2,SC
1118,137,2021,19835,19835,1,BC
1118,138,2021,19369,19369,1,MBC
1118,139,2021,18582,18582,1,BC
1118,141,2021,17008,17008,1,BC
1118,141,2021,17042,17042,1,SC
1118,142,2021,16326,16326,1,MBC
1118,143,2021,15486,15494,2,MBC
1118,145,2021,14061,14061,1,BC
1118,145,2021,13951,14215,2,SC
1118,147,2021,12473,12473,1,MBC
1118,148,2021,11986,11986,1,BC
1118,148,2021,12042,12042,1,MBC
1118,148,2021,11956,11956,1,SC
1118,149,2021,11188,11188,1,BC
1118,151,2021,9557,9557,1,MBC
1118,154,2021,7392,7392,1,BC
1118,154,2021,7270,7488,3,MBC
1118,155,2021,6604,6756,2,BC
1118,155,2021,6781,6781,1,MBC
1118,156,2021,5959,5959,1,BC
1118,156,2021,5827,5981,2,MBC
1118,157,2021,5246,5246,1,BC
1118,157,2021,5032,5065,2,MBC
1118,157,2021,5213,5213,1,SC
1118,158,2021,4220,4220,1,BC
1118,158,2021,4534,4534,1,MBC
1118,158,2021,4180,4180,1,SC
1118,159,2021,3466,3466,1,BC
1118,159,2021,3455,3455,1,MBC
1118,160,2021,2757,2757,1,BC
1118,160,2021,2781,2962,3,MBC
1118,161,2021,1857,2120,5,BC
1118,161,2021,1878,2125,2,MBC
1118,162,2021,973,1261,8,BC
1118,162,2021,1088,1088,1,MBC
1118,176,2021,122,122,1,BC
1118,177,2021,15004,15066,3,BC
1118,182,2021,6311,6311,1,BC
1118,182,2021,6326,6326,1,OC
1118,184,2021,3200,3252,2,BC
1118,97,2021,25972,25972,1,SCA
1120,131,2021,24187,24297,2,MBC
1120,132,2021,23353,23353,1,MBC
1120,133,2021,22707,22707,1,MBC
1120,133,2021,22619,22619,1,SC
1120,134,2021,21945,21945,1,MBC
1120,134,2021,21970,21970,1,SC
1120,135,2021,21145,21145,1,BC
1120,137,2021,19852,19852,1,BC
1120,137,2021,20004,20004,1,MBC
1120,139,2021,18618,18618,1,BC
1120,139,2021,18635,18635,1,SC
1120,140,2021,17803,17803,1,MBC
1120,140,2021,20170,20170,1,SC
1120,141,2021,16978,16978,1,SC
1120,144,2021,14788,14788,1,SC
1120,145,2021,14113,14113,1,BC
1120,145,2021,14171,14171,1,SC
1120,146,2021,13474,13474,1,BC
1120,146,2021,13487,13487,1,MBC
1120,146,2021,13521,13521,1,SC
1120,147,2021,12563,12767,3,BC
1120,148,2021,11738,11990,2,BC
1120,149,2021,11067,11067,1,SC
1120,150,2021,10378,10485,3,BC
1120,152,2021,8924,8930,2,BC
1120,152,2021,8873,11138,2,SC
1120,153,2021,8155,8155,1,MBC
1120,154,2021,7419,7419,1,BC
1120,154,2021,7549,7549,1,MBC
1120,155,2021,7840,7841,2,BC
1120,155,2021,6750,6750,1,SC
1120,156,2021,6024,6024,1,BC
1120,157,2021,5145,5226,2,MBC
1120,158,2021,4200,4543,2,BC
1120,158,2021,4162,4485,2,SC
1120,159,2021,3474,3474,1,MBC
1120,159,2021,2908,3594,2,SC
1120,160,2021,2636,2932,3,MBC
1120,161,2021,1868,2073,4,BC
1120,161,2021,2029,2029,1,MBC
1120,162,2021,1040,1069,2,BC
1120,162,2021,980,1259,5,MBC
1120,163,2021,6315,6315,1,OC
1120,166,2021,788,788,1,SC
1120,168,2021,289,289,1,BC
1120,170,2021,253,253,1,MBC
1120,175,2021,18596,18596,1,BC
1120,177,2021,15015,15059,2,BC
1120,178,2021,89,13215,2,BC
1120,180,2021,9733,9809,2,BC
1120,180,2021,54,54,1,SC
1120,181,2021,8076,8076,1,MBC
1120,182,2021,6376,6376,1,BC
1120,183,2021,4710,4747,3,BC
1120,183,2021,4715,4715,1,MBC
1120,185,2021,1790,1797,2,OC
1120,186,2021,10027,10027,1,OC
1120,188,2021,251,251,1,OC
1121,133,2021,22635,22635,1,BC
1121,138,2021,19346,19346,1,BC
1121,139,2021,18682,18682,1,MBC
1122,115,2021,25490,25490,1,SCA
1122,126,2021,24368,24368,1,SC
1122,132,2021,23643,23643,1,SC
1122,133,2021,22877,22877,1,MBC
1122,134,2021,22102,22102,1,SC
1122,135,2021,22275,22275,1,SCA
1122,136,2021,20488,20639,2,SC
1122,137,2021,19793,19793,1,OC
1122,138,2021,19267,19267,1,BC
1122,138,2021,19181,19181,1,SC
1122,139,2021,20632,20632,1,BC
1122,139,2021,18421,18465,2,MBC
1122,139,2021,18446,20638,4,SC
1122,140,2021,17839,17839,1,SC
1122,141,2021,17032,17032,1,MBC
1122,141,2021,16891,17030,2,SC
1122,142,2021,16368,16368,1,BC
1122,142,2021,16233,16233,1,MBC
1122,142,2021,16194,16194,1,SC
1122,143,2021,18474,18474,1,BC
1122,143,2021,15552,15552,1,MBC
1122,144,2021,14710,14710,1,SC
1122,147,2021,12717,15666,2,BC
1122,148,2021,11747,11747,1,SC
1122,149,2021,11176,11248,3,BC
1122,149,2021,11243,11243,1,MBC
1122,150,2021,10584,10584,1,BC
1122,150,2021,10317,10492,3,MBC
1122,151,2021,9602,9637,2,BC
1122,152,2021,8885,8885,1,BC
1122,152,2021,8753,8970,3,MBC
1122,153,2021,8058,8125,2,BC
1122,153,2021,8195,8195,1,MBC
1122,153,2021,10093,10093,1,SC
1122,154,2021,7347,7347,1,BC
1122,154,2021,7286,7554,5,MBC
1122,154,2021,7434,7434,1,OC
1122,154,2021,7457,7457,1,SC
1122,155,2021,6465,6580,3,BC
1122,155,2021,6587,6587,1,MBC
1122,156,2021,5864,6625,4,BC
1122,156,2021,5735,5760,3,MBC
1122,157,2021,5109,5386,2,BC
1122,158,2021,4202,4520,4,BC
1122,158,2021,4209,4209,1,SC
1122,159,2021,3527,3714,4,BC
1122,159,2021,3461,3635,3,MBC
1122,159,2021,2912,3643,2,SC
1122,160,2021,2883,2974,4,BC
1122,160,2021,2718,2923,2,MBC
1122,160,2021,2889,2889,1,SC
1122,161,2021,1831,2038,6,BC
1122,162,2021,1042,1212,3,BC
1122,162,2021,1087,1087,1,OC
1122,162,2021,1000,1000,1,SC
1122,166,2021,369,369,1,BC
1122,176,2021,64,64,1,SC
1122,177,2021,15033,15069,2,BC
1122,178,2021,13228,13228,1,MBC
1122,180,2021,9775,9813,3,BC
1122,180,2021,9735,9735,1,OC
1122,181,2021,8055,8055,1,BC
1122,181,2021,8019,8019,1,OC
1123,110,2021,25685,25685,1,BC
1123,131,2021,24277,24277,1,MBC
1123,132,2021,23450,23450,1,BC
1123,132,2021,23314,23314,1,SC
1123,134,2021,21883,21883,1,SC
1123,136,2021,20681,20681,1,MBC
1123,138,2021,19313,19313,1,BC
1123,139,2021,18398,18562,3,BC
1123,142,2021,16360,16360,1,BC
1123,147,2021,15648,15648,1,SC
1123,148,2021,11830,11830,1,MBC
1123,150,2021,10511,10511,1,BC
1123,151,2021,12138,12138,1,BC
1123,152,2021,9074,9074,1,BC
1123,152,2021,8895,8895,1,MBC
1123,156,2021,6007,6007,1,MBC
1123,156,2021,6644,6644,1,OC
1123,160,2021,2842,2842,1,BC
1124,139,2021,18466,18466,1,SC
1124,156,2021,6675,6675,1,BC
1125,117,2021,25385,25385,1,SC
1125,133,2021,22874,22874,1,MBC
1126,131,2021,24139,24139,1,SC
1126,132,2021,23545,23545,1,BC
1126,132,2021,23396,23596,2,MBC
1126,133,2021,22898,22898,1,BC
1126,134,2021,22100,22100,1,BC
1126,138,2021,19220,19220,1,MBC
1126,143,2021,18481,18481,1,SC
1126,146,2021,13459,13459,1,BC
1126,148,2021,11751,11751,1,SC
1126,150,2021,10258,10258,1,BC
1126,155,2021,6460,6460,1,MBC
1126,156,2021,6630,6630,1,BC
1127,106,2021,25781,25781,1,BC
1127,119,2021,25213,25213,1,OC
1127,131,2021,24183,24183,1,BC
1127,133,2021,22706,22749,2,BC
1127,133,2021,22830,22830,1,MBC
1127,136,2021,20617,20617,1,MBC
1127,137,2021,21519,21519,1,BC
1127,137,2021,19829,19829,1,MBC
1127,138,2021,19332,19332,1,BC
1127,139,2021,18430,18598,4,BC
1127,141,2021,17024,17024,1,BC
1127,142,2021,19122,19122,1,SC
1127,143,2021,15634,15667,2,BC
1127,144,2021,17852,17852,1,BC
1127,144,2021,14817,14817,1,MBC
1127,145,2021,14156,14156,1,BC
1127,145,2021,13982,13982,1,OC
1127,146,2021,13284,13284,1,BC
1127,148,2021,14846,14846,1,BC
1127,148,2021,11966,11966,1,MBC
1127,149,2021,13996,13996,1,BC
1127,151,2021,9577,12149,3,BC
1127,151,2021,12134,12134,1,SC
1127,154,2021,7516,9006,2,BC
1127,155,2021,7843,7843,1,OC
1127,157,2021,5227,5227,1,BC
1127,159,2021,3430,3430,1,BC
1127,162,2021,1183,1183,1,BC
1127,181,2021,8088,8088,1,OC
1128,131,2021,24348,24348,1,SC
1128,132,2021,23323,23323,1,SC
1128,133,2021,22723,22883,2,SC
1128,137,2021,19860,19860,1,SC
1128,138,2021,19383,19383,1,SC
1128,139,2021,18510,18510,1,SC
1128,144,2021,14740,14878,2,SC
1128,147,2021,12635,12635,1,SC
1128,148,2021,11886,11886,1,SC
1128,150,2021,13098,13098,1,ST
1128,160,2021,2689,2689,1,SC
1128,161,2021,1819,1819,1,BC
1128,161,2021,1844,1844,1,MBC
1128,162,2021,1024,1024,1,MBC
1128,162,2021,1335,1335,1,SC
1128,168,2021,291,291,1,BC
1128,168,2021,293,293,1,MBC
1128,176,2021,65,65,1,SC
1128,179,2021,11527,11527,1,BC
1128,181,2021,8023,8031,2,BC
1128,181,2021,7996,8085,2,OC
1128,182,2021,6314,6367,2,BC
1128,183,2021,4755,4755,1,BC
1128,183,2021,4742,4773,2,OC
1128,184,2021,3265,3265,1,BC
1128,185,2021,1771,1793,2,BC
1128,187,2021,8816,8816,1,BC
1128,187,2021,8738,8738,1,OC
1133,131,2021,24349,24349,1,OC
1133,139,2021,18518,18518,1,MBC
1133,141,2021,17092,17092,1,SC
1133,149,2021,11235,11235,1,BC
1133,82,2021,26405,26405,1,BC
1137,109,2021,25716,25716,1,BC
1137,131,2021,24042,24042,1,MBC
1137,132,2021,23513,23513,1,SC
1137,133,2021,22939,22939,1,MBC
1137,134,2021,22010,22010,1,BC
1137,138,2021,19244,19244,1,BC
1137,139,2021,18566,18566,1,BC
1137,141,2021,16981,16981,1,MBC
1137,143,2021,15666,15666,1,BC
1137,143,2021,15507,15507,1,SC
1137,146,2021,16447,16447,1,BC
1137,146,2021,13464,13464,1,MBC
1137,149,2021,10993,10993,1,BC
1137,149,2021,11276,11276,1,MBC
1137,152,2021,9024,9024,1,BC
1137,154,2021,7334,7334,1,BC
1137,158,2021,4436,4436,1,BC
1137,159,2021,3730,3730,1,BC
1137,162,2021,1299,1299,1,MBC
1137,164,2021,451,451,1,MBC
1137,175,2021,141,141,1,MBC
1140,142,2021,16283,16283,1,OC
1140,146,2021,13456,13456,1,BC
1140,148,2021,11782,12003,2,MBC
1140,149,2021,10973,10986,2,BC
1140,149,2021,11192,11192,1,MBC
1140,150,2021,10401,10401,1,BC
1140,151,2021,9659,9685,2,BC
1140,151,2021,9645,9829,3,MBC
1140,152,2021,9017,11162,2,BC
1140,152,2021,8731,8731,1,MBC
1140,153,2021,8216,8216,1,MBC
1140,153,2021,10094,10094,1,SC
1140,154,2021,7243,7321,2,BC
1140,154,2021,7530,7530,1,MBC
1140,155,2021,6512,6535,2,BC
1140,156,2021,5723,5999,2,BC
1140,156,2021,5969,5969,1,MBC
1140,156,2021,5796,5796,1,OC
1140,158,2021,4331,4331,1,BC
1140,159,2021,3568,3568,1,BC
1140,160,2021,2951,2951,1,BC
1140,161,2021,1937,1937,1,BC
1140,161,2021,2118,2118,1,MBC
1140,162,2021,1256,1256,1,BC
1140,162,2021,1068,1068,1,MBC
1140,163,2021,498,498,1,BC
1140,176,2021,16788,16788,1,BC
1140,177,2021,15005,15005,1,OC
1140,179,2021,11564,11564,1,BC
1140,180,2021,9789,9789,1,BC
1140,180,2021,9725,9725,1,OC
1149,109,2021,25714,25714,1,SC
1149,131,2021,24172,24347,2,SC
1149,132,2021,23324,23324,1,SC
1149,138,2021,19376,19376,1,BC
1149,138,2021,19096,19223,2,SC
1149,139,2021,18470,18470,1,SC
1149,142,2021,16210,16210,1,BC
1149,142,2021,16178,16287,2,SC
1149,143,2021,15549,15558,2,SC
1149,145,2021,14017,14017,1,BC
1149,147,2021,12524,12524,1,MBC
1149,148,2021,12062,12062,1,BC
1149,15,2021,1,1,1,BC
1149,152,2021,8934,8934,1,SC
1149,153,2021,8146,8206,2,BC
1149,153,2021,8162,8162,1,SC
1149,154,2021,7251,7251,1,BC
1149,154,2021,7545,7545,1,MBC
1149,154,2021,7510,7510,1,SC
1149,155,2021,6664,6664,1,BC
1149,156,2021,5825,5831,2,BC
1149,157,2021,5140,5140,1,MBC
